Time,Sensor1
0.76,17
100.77,17
100.78,16
100.8,17
100.81,18
100.82,18
100.83,17
100.85,17
100.86,18
100.87,16
100.88,17
100.9,17
100.91,18
100.92,18
100.93,16
100.95,17
100.96,18
100.97,17
100.98,17
101.0,17
101.01,17
101.02,17
101.03,17
101.05,17
101.06,17
101.07,17
101.08,18
101.1,18
101.11,17
101.12,17
101.13,17
101.15,18
101.16,16
101.17,17
101.18,17
101.2,18
101.21,18
101.22,17
101.23,17
101.25,18
101.26,18
101.27,18
101.28,16
101.3,17
101.31,17
101.32,19
101.33,18
101.34,16
101.36,17
101.37,18
101.38,17
101.39,16
101.41,17
101.42,16
101.43,18
101.44,17
101.46,16
101.47,16
101.48,18
101.49,18
101.51,17
101.52,16
101.53,17
101.54,18
101.56,18
101.57,17
101.58,17
101.59,17
101.61,18
101.62,18
101.63,16
101.64,17
101.66,17
101.67,17
101.68,18
101.69,17
101.71,17
101.72,17
101.73,18
101.74,18
101.76,16
101.77,17
101.78,18
101.79,18
101.81,18
101.82,17
101.83,17
101.84,17
101.86,18
101.87,18
101.88,17
101.89,16
101.91,17
101.92,17
101.93,18
101.94,18
101.96,16
101.97,17
101.98,18
101.99,18
102.01,18
102.02,17
102.03,17
102.04,18
102.06,18
102.07,18
102.08,16
102.09,17
102.11,18
102.12,19
102.13,18
102.14,16
102.16,16
102.17,18
102.18,18
102.19,18
102.21,17
102.22,17
102.23,17
102.24,17
102.26,18
102.27,18
102.28,18
102.29,17
102.31,17
102.32,16
102.33,18
102.34,18
102.36,18
102.37,17
102.38,16
102.39,17
102.41,17
102.42,19
102.43,16
102.44,16
102.46,16
102.47,16
102.48,18
102.49,19
102.51,17
102.52,18
102.53,16
102.54,16
102.56,17
102.57,18
102.58,18
102.59,18
102.61,17
102.62,16
102.63,16
102.64,18
102.66,18
102.67,18
102.68,18
102.69,17
102.71,16
102.72,18
102.73,17
102.74,17
102.76,17
102.77,16
102.78,17
102.79,16
102.81,18
102.82,18
102.83,16
102.84,17
102.86,16
102.87,17
102.88,18
102.89,18
102.9,16
102.92,17
102.93,17
102.94,18
102.95,19
102.97,17
102.98,16
102.99,16
103.0,17
103.02,18
103.03,18
103.04,17
103.05,16
103.07,16
103.08,17
103.09,18
103.1,18
103.12,17
103.13,16
103.14,17
103.15,18
103.17,18
103.18,17
103.19,17
103.2,17
103.22,16
103.23,17
103.24,17
103.25,18
103.27,17
103.28,17
103.29,17
103.3,16
103.32,17
103.33,18
103.34,18
103.35,18
103.37,16
103.38,17
103.39,17
103.4,19
103.42,18
103.43,17
103.44,16
103.45,16
103.47,17
103.48,18
103.49,18
103.5,17
103.52,17
103.53,16
103.54,17
103.55,18
103.57,18
103.58,17
103.59,17
103.6,17
103.62,16
103.63,17
103.64,18
103.65,18
103.67,17
103.68,17
103.69,17
103.7,18
103.72,19
103.73,18
103.74,17
103.75,17
103.77,17
103.78,18
103.79,18
103.8,17
103.82,17
103.83,16
103.84,16
103.85,16
103.87,16
103.88,17
103.89,18
103.9,17
103.92,18
103.93,16
103.94,17
103.95,17
103.97,18
103.98,18
103.99,17
104.0,16
104.02,16
104.03,17
104.04,17
104.05,18
104.07,18
104.08,17
104.09,18
104.1,16
104.12,16
104.13,17
104.14,17
104.15,18
104.17,18
104.18,16
104.19,16
104.2,16
104.22,17
104.23,18
104.24,18
104.25,18
104.27,16
104.28,16
104.29,17
104.3,18
104.32,18
104.33,18
104.34,17
104.35,16
104.37,17
104.38,18
104.39,18
104.4,18
104.42,18
104.43,17
104.44,17
104.45,18
104.46,18
104.48,18
104.49,17
104.5,17
104.51,17
104.53,17
104.54,18
104.55,18
104.56,18
104.58,17
104.59,17
104.6,16
104.61,17
104.63,18
104.64,17
104.65,17
104.66,17
115.52,21
115.53,21
115.55,21
